Cliente/Fornec,Descrição,Espessura,Largura,Compr,Potencial/consumo/mês-Kg,Tipo Material,Família Produto,E-mail,Contato,Fone,e-mail,Representante,Número de Faturamentos - No ANO,Peso Acumulado Faturado - No ANO,Peso Médio Mensal Faturado - No ANO,Dias s/ Compra,Situação, Cliente Prioritário, Preço Médio , Potencial Financeiro, Potencial de Comissão,12/19/2023,2023,12
ACO BRASIL,"CHAPA GR LTQ  8,00 NBR8300",8.00,"1,500.00"," 3,000 ","10,000",CG DO LTQ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA GR LTQ  9,50 NBR8300",9.50,"1,500.00"," 4,790 ","10,000",CG DO LTQ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FF 1,20 NBR5915 EEP OL",1.20,"1,200.00"," 3,000 ",,CFF OL ,,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA GR LTQ  9,50 ASTM A 36",9.50,"1,500.00"," 3,000 ",,CG DO LTQ,,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"TIRA FF BOB 1,06 NBR6658 OL",1.06,25.00,,500,TFF OL BOB,FITA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,50 NBR7008 ZC CR NORM RV B",0.50,"1,200.00"," 3,000 ","100,000",CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,65 NBR7008 ZC CR NO RV Z275",0.65,"1,200.00"," 2,000 ","2,000",CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,65 NBR7008 ZC CR NO RV Z275",0.65,"1,200.00"," 3,000 ","2,000",CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV Z275",0.80,"1,000.00"," 2,000 ","2,000",CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV Z275",0.80,"1,000.00"," 2,200 ",,CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV Z275",0.80,"1,000.00"," 2,400 ",,CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV Z275",0.80,"1,200.00"," 2,200 ",,CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV Z275",0.80,"1,200.00"," 2,400 ",,CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV Z275",0.80,"1,200.00"," 3,000 ",,CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 0,95 NBR7008 ZC CR NORM RV B",0.95,"1,200.00"," 2,000 ","25,000",CZC,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA FF 1,06 NBR6658 OL",1.06,"1,200.00"," 3,000 ","2,000",CFF OL ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA FQ 1,50 NBR6658",1.50,"1,200.00"," 3,000 ","50,000",CFQ ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA FQ 2,00 NBR6658",2.00,"1,500.00"," 2,000 ",,CFQ ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 1,55 NBR7008 ZC CR MIN RV Z275",1.55,"1,200.00"," 3,500 ",,#N/A,#N/A,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 1,55 NBR7008 ZC CR MIN RV Z275",1.55,"1,200.00"," 1,500 ",,#N/A,#N/A,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 1,55 NBR7008 ZC CR MIN RV Z275",1.55,"1,200.00"," 1,800 ",,#N/A,#N/A,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA ZC 1,55 NBR7008 ZC CR MIN RV Z275",1.55,"1,200.00"," 2,000 ",,#N/A,#N/A,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA FF 1,90 NBR6658 OL",1.90,"1,200.00"," 2,000 ","2,000",CFF OL ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA FF 1,90 NBR6658 OL",1.90,"1,200.00"," 3,000 ","2,000",CFF OL ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA GR LTQ  6,30 ASTM A 36",6.30,"1,000.00"," 4,800 ",,CG DO LTQ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA GR LTQ  6,30 SAE1045",6.30,"1,200.00"," 3,000 ","25,000",CG DO LTQ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"CHAPA GR LTQ 12,50 NBR8300",12.50,"1,200.00"," 3,000 ","25,000",CG DO LTQ,CHAPA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"BOB FQ DEC 2,25 NBR6658 OL",2.25,"1,200.00"," 3,000 ","25,000",BOBINA FQ DECOL,BOBINA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"BOB FQ 3,50 SAE1006",2.65,"1,200.00"," 3,000 ","25,000",BOBINA FQ,BOBINA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"BOB FQ 3,00 NBR6658",3.00,"1,000.00"," 3,000 ","10,000",BOBINA FQ,BOBINA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ACOPLANO,"TIRA FF BOB 1,50 NBR6658 OL",1.5,34.00,,500,TFF OL BOB,FITA,coppi@acoplano.com.br,COPPI,3224-2202,COPPI, JOCIARA,  -   ,  -   ,  -   ,"3,072",Inativo,, - , -, -,,,
ANDRE MODENA,"CHAPA FF 0,45 NBR6658 OL",0.45,"1,200.00",3000,"12,000",CFF OL ,CHAPA,modena@arasul.com.br,ANDRÉ,3212-4323,, HAMILTON,  -   ,  -   ,  -   ,"2,983",Inativo,, - , -, -,,,
ANDRE MODENA,"CHAPA FF 0,60 NBR6658 OL",0.6,"1,200.00",3000,"12,000",CFF OL ,CHAPA,modena@arasul.com.br,ANDRÉ,3212-4323,, HAMILTON,  -   ,  -   ,  -   ,"2,983",Inativo,, - , -, -,,,
ANDRE MODENA,"CHAPA FF 0,60 NBR6651 EEV OL",0.6,"1,200.00",3000,"6,000",CFF OL ,CHAPA,modena@arasul.com.br,ANDRÉ,3212-4323,, HAMILTON,  -   ,  -   ,  -   ,"2,983",Inativo,, - , -, -,,,
ANODILAR,"TIRA FF BOB 0,75 NBR6658 OL",0.75,30.50,,500,TFF OL BOB,FITA,compras@anodilar.com.br,JOSÉ  CAETANO,3213-3100,, JOCIARA,  -   ,  -   ,  -   ,"3,911",Inativo,, - , -, -,,,
ANODILAR,"TIRA FF BOB 0,75 NBR5915 EEP OL",0.75,122.80,,500,TFF OL BOB,FITA,compras@anodilar.com.br,JOSÉ  CAETANO,3213-3100,, JOCIARA,  -   ,  -   ,  -   ,"3,911",Inativo,, - , -, -,,,
ANODILAR,"TIRA FF BOB 0,90 NBR6658 OL",0.9,43.00,,500,TFF OL BOB,FITA,compras@anodilar.com.br,JOSÉ  CAETANO,3213-3100,, JOCIARA,  -   ,  -   ,  -   ,"3,911",Inativo,, - , -, -,,,
ANODILAR,"TIRA FF BOB 1,20 NBR6658 OL",1.2,43.00,,500,TFF OL BOB,FITA,compras@anodilar.com.br,JOSÉ  CAETANO,3213-3100,, JOCIARA,  -   ,  -   ,  -   ,"3,911",Inativo,, - , -, -,,,
ANODILAR,"TIRA FF BOB 1,90 NBR6658 OL",1.9,27.00,,500,TFF OL BOB,FITA,compras@anodilar.com.br,JOSÉ  CAETANO,3213-3100,, JOCIARA,  -   ,  -   ,  -   ,"3,911",Inativo,, - , -, -,,,
ANTONIO TEGN,"TIRA FF BOB 1,06 NBR6658 OL",1.06,37.00,,"2,000",TFF OL BOB,FITA,,,,, MACIEL,  -   ,  -   ,  -   ,"3,420",Inativo, sim, - , -, -,,,
ANTONIO TEGN,"TIRA FF BOB 1,06 NBR6658 OL",1.06,43.00,,"2,000",TFF OL BOB,FITA,,,,, MACIEL,  -   ,  -   ,  -   ,"3,420",Inativo, sim, - , -, -,,,
ANTONIO TEGN,"TIRA FF BOB 1,20 NBR6658 OL",1.2,53.00,,"2,000",TFF OL BOB,FITA,,,,, MACIEL,  -   ,  -   ,  -   ,"3,420",Inativo, sim, - , -, -,,,
ANTONIO TEGN,"TIRA FF BOB 1,20 NBR6658 OL",1.2,63.00,,"2,000",TFF OL BOB,FITA,,,,, MACIEL,  -   ,  -   ,  -   ,"3,420",Inativo, sim, - , -, -,,,
ANTONIO TEGN,"TIRA FF BOB 1,90 NBR6658 OL",1.9,75.00,,"2,000",TFF OL BOB,FITA,,,,, MACIEL,  -   ,  -   ,  -   ,"3,420",Inativo, sim, - , -, -,,,
ANTONIO TEGN,"TIRA FF BOB 0,90 NBR6658 OL",0.9,32.00,,"2,000",TFF OL BOB,FITA,,,,, MACIEL,  -   ,  -   ,  -   ,"3,420",Inativo, sim, - , -, -,,,
ARCO IRIS IN,"TR REL 0,60 BOB NBR6662 G1070CORL BbOL",0.6,29.00,,500,TIRA REL,RELAMINADO,joelma@arcoirispersianas.com.br,MUGNOL,3028-0040,, MACIEL,  -   ,  -   ,  -   ,"4,017",Inativo,, - , -, -,,,
ARPI,"CHAPA ZC 0,95 NBR7008 ZC CR NORM RV B",0.95,"1,000.00",3000,500,CZC,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA ZC 0,95 NBR7008 ZC CR MIN RV B",0.95,"1,200.00",3000,500,CZC,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FF 1,20 NBR6658 OL",1.2,"1,000.00",3000,500,CFF OL ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA ZC 1,25 NBR7008 ZC CR NORM RV B",1.25,"1,200.00",3000,500,CZC,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FF 1,50 NBR6658 OL",1.5,"1,000.00",3000,500,CFF OL ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FQ 1,50 NBR6658",1.5,"1,200.00",3000,500,CFQ ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA ZC 1,55 NBR7008 ZC CR NORM RV B",1.55,"1,200.00",2500,500,CZC,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA ZC 1,95 NBR7008 ZC CR NORM RV B",1.95,"1,200.00",3000,500,CZC,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FQ 2,00 NBR6658",2,"1,200.00",2000,500,CFQ ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FQ 2,00 NBR6658",2,"1,000.00",3000,500,CFQ ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FQ 2,25 NBR6658",2.25,"1,000.00",3000,500,CFQ ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FQ 2,25 NBR6658",2.25,"1,200.00",2000,500,CFQ ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA FQ 3,00 NBR6658",3,"1,200.00",3000,500,CFQ ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA GR LTQ  6,35 NBR8300",6.35,"1,200.00",3000,500,CG DO LTQ,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARPI,"CHAPA GR LCG  25,00 ASTM A 36",25,"2,000.00",1500,"1,000",CG DO LCG,CHAPA,pcp@aspersul.com.br,EZEQUIEL,3238-1675,, HAMILTON,  -   ,  -   ,  -   ,"4,495",Inativo, sim, - , -, -,,,
ARTALI ,"CHAPA FQ 2,65 NBR6658",2.65,"1,200.00",3000,"2,500",CFQ ,CHAPA,clodoaldo@artali.com.br,CLODOALDO,54 3222 5099,, HAMILTON,  -   ,  -   ,  -   ,sem compra,sem compra, sim, - , -, -,,,
BASE COMPONE,"TIRA FF BOB 0,90 NBR6658 OL",0.9,55.00,,500,TFF OL BOB,FITA,suprimentos@basecomponentes.com.br,TAIS,3238-1715,, HAMILTON,  -   ,  -   ,  -   ,"3,093",Inativo,, - , -, -,,,
BASE COMPONE,"TIRA FF BOB 0,90 NBR6658 OL",0.9,78.00,,500,TFF OL BOB,FITA,suprimentos@basecomponentes.com.br,TAIS,3238-1715,, HAMILTON,  -   ,  -   ,  -   ,"3,093",Inativo,, - , -, -,,,
BASE COMPONE,"TIRA FF BOB 1,20 NBR6658 OL",1.2,55.00,,500,TFF OL BOB,FITA,suprimentos@basecomponentes.com.br,TAIS,3238-1715,, HAMILTON,  -   ,  -   ,  -   ,"3,093",Inativo,, - , -, -,,,
BASE COMPONE,"TIRA FF BOB 1,20 NBR6658 OL",1.2,78.00,,500,TFF OL BOB,FITA,suprimentos@basecomponentes.com.br,TAIS,3238-1715,, HAMILTON,  -   ,  -   ,  -   ,"3,093",Inativo,, - , -, -,,,
BASE COMPONE,"TIRA FF BOB 1,90 NBR6658 OL",1.9,25.00,,"1,000",TFF OL BOB,FITA,suprimentos@basecomponentes.com.br,TAIS,3238-1715,, HAMILTON,  -   ,  -   ,  -   ,"3,093",Inativo,, - , -, -,,,
BENFATI,"TIRA FF BOB 1,20 NBR6658 OL",1.2,66.00,,500,TFF OL BOB,FITA,benfati@benfati.com.br,TAISE,(054) 3522-4095,, HAMILTON,  -   ,  -   ,  -   ,"3,487",Inativo,, - , -, -,,,
BENFATI,"TIRA FF BOB 1,20 NBR6658 OL",1.2,59.00,,500,TFF OL BOB,FITA,benfati@benfati.com.br,TAISE,(054) 3522-4095,, HAMILTON,  -   ,  -   ,  -   ,"3,487",Inativo,, - , -, -,,,
BLP MAQUINAS,"CHAPA GR LCG  16,00 ASTM A 36",16,"2,000.00",6000,500,CG DO LCG,CHAPA,blp@blp.ind.br,ZULMIRO,3227-2048,, MACIEL,  -   ,  -   ,  -   ,"4,889",Inativo,, - , -, -,,,
BLP MAQUINAS,"CHAPA GR LCG  25,00 ASTM A 36",25,"2,440.00",3000,500,CG DO LCG,CHAPA,blp@blp.ind.br,ZULMIRO,3227-2048,, MACIEL,  -   ,  -   ,  -   ,"4,889",Inativo,, - , -, -,,,
BLP MAQUINAS,"CHAPA GR LCG  31,50 ASTM A 36",31.5,"2,440.00",6000,500,CG DO LCG,CHAPA,blp@blp.ind.br,ZULMIRO,3227-2048,, MACIEL,  -   ,  -   ,  -   ,"4,889",Inativo,, - , -, -,,,
BLP MAQUINAS,"CHAPA GR LCG  37,50 ASTM A 36",37.5,"2,000.00",6000,500,CG DO LCG,CHAPA,blp@blp.ind.br,ZULMIRO,3227-2048,, MACIEL,  -   ,  -   ,  -   ,"4,889",Inativo,, - , -, -,,,
BLP MAQUINAS,"CHAPA GR LCG  44,50 ASTM A 36",44.5,"2,000.00",6000,500,CG DO LCG,CHAPA,blp@blp.ind.br,ZULMIRO,3227-2048,, MACIEL,  -   ,  -   ,  -   ,"4,889",Inativo,, - , -, -,,,
BLP MAQUINAS,"CHAPA GR LCG  50,00 ASTM A 36",50,"2,440.00",3000,500,CG DO LCG,CHAPA,blp@blp.ind.br,ZULMIRO,3227-2048,, MACIEL,  -   ,  -   ,  -   ,"4,889",Inativo,, - , -, -,,,
BLP MAQUINAS,"CHAPA GR LCG  89,00 ASTM A 36",89,"2,000.00",3005,500,CG DO LCG,CHAPA,blp@blp.ind.br,ZULMIRO,3227-2048,, MACIEL,  -   ,  -   ,  -   ,"4,889",Inativo,, - , -, -,,,
BORGHETTI,"CHAPA FQ DEC 2,65 NBR6658 OL",2.65,"1,200.00",3000,"1,500",CFQ DEC OL,CHAPA,mayke.cavali@masterpower.com.br,TIAGO,3291-9800,polidoro@masterpower.com.br, MACIEL,  -   ,  -   ,  -   ,"3,200",Inativo, sim, - , -, -,,,
BORGHETTI,"CHAPA FQ DEC 3,00 NBR6658 OL",3,"1,200.00",3000,500,CFQ DEC OL,CHAPA,mayke.cavali@masterpower.com.br,TIAGO,3291-9800,polidoro@masterpower.com.br, MACIEL,  -   ,  -   ,  -   ,"3,200",Inativo, sim, - , -, -,,,
BORGHETTI,"CHAPA FQ 3,75 NBR6658",3.75,"1,200.00",3000,500,CFQ ,CHAPA,mayke.cavali@masterpower.com.br,TIAGO,3291-9800,polidoro@masterpower.com.br, MACIEL,  -   ,  -   ,  -   ,"3,200",Inativo, sim, - , -, -,,,
BORGHETTI,"CHAPA FQ 4,25 NBR6658",4.25,"1,200.00",3000,500,CFQ ,CHAPA,mayke.cavali@masterpower.com.br,TIAGO,3291-9800,polidoro@masterpower.com.br, MACIEL,  -   ,  -   ,  -   ,"3,200",Inativo, sim, - , -, -,,,
BORGHETTI,"TIRA FF BOB 0,90 NBR5915 EEP OL",0.9,100.00,,500,TFF OL BOB,FITA,mayke.cavali@masterpower.com.br,TIAGO,3291-9800,polidoro@masterpower.com.br, MACIEL,  -   ,  -   ,  -   ,"3,200",Inativo, sim, - , -, -,,,
BORTOLOTTO,"TIRA FF BOB 0,60 NBR6658 OL",0.6,35.50,,500,TFF OL BOB,FITA,leonardo@sinalsul.com.br,,3213-6400,, MACIEL,  -   ,  -   ,  -   ,"2,826",Inativo, sim, - , -, -,,,
BORTOLOTTO,"TIRA FF BOB 0,60 NBR6658 OL",0.6,25.00,,500,TFF OL BOB,FITA,leonardo@sinalsul.com.br,,3213-6400,, MACIEL,  -   ,  -   ,  -   ,"2,826",Inativo, sim, - , -, -,,,
BORTOLOTTO,"TIRA FF BOB 0,60 NBR6658 OL",0.6,11.00,,500,TFF OL BOB,FITA,leonardo@sinalsul.com.br,,3213-6400,, MACIEL,  -   ,  -   ,  -   ,"2,826",Inativo, sim, - , -, -,,,
BORTOLOTTO,"TIRA FF BOB 0,60 NBR6658 OL",0.6,18.00,,500,TFF OL BOB,FITA,leonardo@sinalsul.com.br,,3213-6400,, MACIEL,  -   ,  -   ,  -   ,"2,826",Inativo, sim, - , -, -,,,
BORTOLOTTO,"TIRA FF BOB 0,75 NBR6658 OL",0.75,33.00,,500,TFF OL BOB,FITA,leonardo@sinalsul.com.br,,3213-6400,, MACIEL,  -   ,  -   ,  -   ,"2,826",Inativo, sim, - , -, -,,,
BORTOLOTTO,"TIRA FF BOB 0,75 NBR6658 OL",0.75,70.50,,500,TFF OL BOB,FITA,leonardo@sinalsul.com.br,,3213-6400,, MACIEL,  -   ,  -   ,  -   ,"2,826",Inativo, sim, - , -, -,,,
